file_name,year,degreeSeekingFirstYear_AAPI,degreeSeekingFirstYear_AIAN,degreeSeekingFirstYear_Black,degreeSeekingFirstYear_Latinx,degreeSeekingFirstYear_Unknown,degreeSeekingFirstYear_intl,degreeSeekingFirstYear_white,degreeSeekingFirstYear_Asian,degreeSeekingFirstYear_NHPI,degreeSeekingFirstYear_multi,degreeSeekingAll_AAPI,degreeSeekingAll_AIAN,degreeSeekingAll_Black,degreeSeekingAll_Latinx,degreeSeekingAll_Unknown,degreeSeekingAll_intl,degreeSeekingAll_white,degreeSeekingAll_Asian,degreeSeekingAll_NHPI,degreeSeekingAll_multi,allStudents_AAPI,allStudents_AIAN,allStudents_Black,allStudents_Latinx,allStudents_Unknown,allStudents_intl,allStudents_white,allStudents_Asian,allStudents_NHPI,allStudents_multi,forbes_ranking,school_name,public_private,Rigor of secondary school record,Class rank,Academic GPA,Standardized test scores,Application Essay,Recommendation(s),Interview,Extracurricular activities,Talent/ability,Character/personal qualities,First Generation,Alumni/ae relation,Geographical residence,State residency,Religious affiliation/commitment,Racial/ethnic status,Volunteer work,Work experience,Level of applicant’s interest
75_10_11,2010,0,16,191,140,30,245,4082,461,5,153,0,176,1391,811,541,1868,22463,2654,42,573,0,194,1497,880,1348,2097,24052,2900,42,597,75,"University of Minnesota, Twin Cities",Public,4,4,4,4,1,1,1,2,2,2,2,2,2,1,1,2,2,2,1
01_11_12,2011,0,2,98,92,21,140,641,243,0,61,0,14,380,436,134,544,2535,915,3,199,0,0,0,0,0,0,0,0,0,0,1,Princeton University,Private,4,4,4,4,4,4,2,3,4,4,2,2,2,1,1,2,2,2,2
02_11_12,2011,0,16,111,291,6,142,585,354,5,194,0,63,507,1150,65,526,2525,1257,32,802,0,0,0,0,0,0,0,0,0,0,2,Stanford University,Private,4,4,4,4,4,4,1,4,4,4,2,2,2,1,1,2,2,2,1
04_11_12,2011,0,11,90,150,47,137,613,219,2,80,0,27,336,521,277,541,2525,813,4,298,0,27,336,521,277,543,2530,813,4,298,4,Yale University,Private,4,4,4,4,4,4,2,4,4,4,2,2,2,2,1,2,2,2,1
07_11_12,2011,0,2,180,272,127,282,1046,424,1,75,0,32,717,798,622,1077,4483,1839,7,204,0,32,717,798,622,1077,4483,1839,7,204,7,University of Pennsylvania,Private,4,3,4,4,4,4,2,3,3,4,2,2,2,2,1,2,2,2,2
08_11_12,2011,0,3,116,169,51,193,740,286,1,98,0,21,453,605,390,726,2966,1183,2,311,0,21,453,605,390,726,2966,1183,2,311,8,Harvard University,Private,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1
09_11_12,2011,0,1,68,184,9,100,396,187,0,53,0,10,256,501,52,360,1566,759,3,201,0,10,256,503,53,392,1574,763,3,201,9,Rice University,Private,4,4,4,4,4,4,2,4,4,4,2,2,2,2,1,2,2,2,2
10_11_12,2011,0,7,208,379,319,320,1379,555,2,138,0,41,788,1336,1385,1281,6438,2323,11,505,0,41,789,1337,1396,1316,6447,2325,11,505,10,Cornell University,Private,4,3,4,4,4,4,2,4,4,4,2,2,2,2,1,2,2,2,1
11_11_12,2011,0,2,151,221,78,154,1401,370,2,157,0,10,492,712,508,533,5213,1700,4,294,0,0,0,0,0,0,0,0,0,0,11,Northwestern University,Private,4,4,4,3,4,4,2,3,3,3,2,2,1,1,1,NA,2,2,2
16_11_12,2011,0,21,73,89,132,70,521,146,0,60,0,108,312,367,339,277,1982,583,6,132,0,108,312,367,395,294,1992,587,6,133,16,Dartmouth College,Private,4,4,4,4,4,4,2,4,3,4,2,2,2,1,1,2,3,1,1
17_11_12,2011,0,0,44,64,0,38,306,57,0,37,0,3,155,213,0,142,1179,214,0,104,0,0,0,0,0,0,0,0,0,0,17,Williams College,Private,4,3,4,4,4,4,1,3,4,3,3,3,2,1,1,3,2,2,1
18_11_12,2011,0,4,99,163,171,167,658,171,1,73,0,24,354,592,685,660,2741,827,6,229,0,25,367,605,711,694,2861,875,7,235,18,Brown University,Private,4,3,3,3,3,3,2,3,4,4,2,2,2,2,1,2,2,2,4
21_11_12,2011,0,5,60,695,180,492,609,1400,3,0,0,109,433,3475,2033,2188,5300,9465,43,0,0,109,433,3475,2033,2188,5300,9465,43,0,21,UCSD,Public,4,1,4,4,4,1,1,3,3,3,2,1,2,3,1,1,3,2,1
22_11_12,2011,0,1,3,30,0,27,72,90,0,21,0,3,12,81,5,118,343,379,6,31,0,3,12,81,5,118,343,379,6,31,22,California Institute of Technology,Private,4,3,3,3,3,3,1,3,2,3,2,2,1,1,1,2,2,2,1
23_11_12,2011,0,0,34,36,26,68,238,130,0,41,0,4,161,164,96,257,1011,526,0,153,0,4,161,164,199,266,1022,531,0,155,23,Wellesley College,Private,4,3,4,4,4,4,2,3,3,4,2,2,2,2,1,2,2,2,2
24_11_12,2011,0,0,57,63,28,36,201,50,0,26,0,0,208,204,193,174,709,196,0,107,0,0,208,204,193,174,709,196,0,107,24,Amherst College,Private,4,3,4,4,4,4,1,4,4,4,4,3,2,2,1,NA,3,2,1
25_11_12,2011,0,0,24,57,4,26,310,28,0,34,0,1,85,221,12,67,1154,122,1,109,0,1,85,221,12,72,1155,122,1,109,25,Bowdoin College,Private,4,4,4,3,4,4,2,4,4,4,3,3,2,2,1,2,1,1,1
27_11_12,2011,0,1,25,62,27,34,156,52,0,29,0,7,102,202,129,117,662,211,0,106,0,7,102,202,130,117,670,211,0,106,27,Swarthmore College,Private,4,4,4,3,4,4,2,3,2,4,2,2,2,2,2,2,2,2,2
28_11_12,2011,0,6,147,354,11,435,1105,712,4,157,0,32,787,2308,125,2007,7102,3928,31,770,0,32,794,2415,181,2137,7114,3940,31,770,28,University of Southern California,Private,4,2,4,4,4,4,2,3,3,2,2,2,1,1,1,2,2,2,1
29_11_12,2011,0,5,276,267,567,226,3884,811,5,195,0,42,1206,1119,1149,1589,17978,3225,11,907,0,42,1212,1123,1175,1655,18038,3239,11,912,29,UMich - Ann Arbor,Public,4,2,4,3,3,3,1,2,2,3,3,2,2,2,1,1,2,2,2
31_11_12,2011,0,24,361,253,26,89,2782,345,2,144,0,106,1594,1649,451,459,11752,1315,42,423,0,111,1704,1688,491,491,12103,1351,48,443,31,UNC,Public,4,4,4,4,4,4,1,4,4,4,3,3,1,4,1,3,3,3,1
38_11_12,2011,0,2,167,160,18,236,1577,445,2,88,0,21,849,769,80,994,7990,2239,13,345,0,21,913,803,84,1081,8295,2379,13,359,38,Georgia Tech,Public,4,1,4,3,3,1,1,4,3,3,1,2,3,3,1,2,3,3,1
40_11_12,2011,0,3,401,538,49,964,3992,1104,9,192,0,36,1754,2227,194,3811,18399,4250,54,625,0,39,1777,2250,233,4197,18727,4340,54,639,40,UIUC,Public,4,3,4,3,3,1,1,3,3,2,2,1,2,2,1,2,2,2,1
41_11_12,2011,0,5,574,359,126,111,2114,546,2,155,0,39,3150,1980,828,663,14737,3898,35,781,0,40,3253,2021,898,727,15011,3977,35,813,41,UMD,Public,4,3,4,4,3,3,1,2,3,2,3,2,2,3,1,2,2,2,1
46_11_12,2011,0,17,326,1503,21,295,3427,1309,9,241,0,118,1734,7588,152,1779,18923,6740,21,670,0,123,1758,7701,160,1796,19375,6823,21,680,46,UT Austin,Public,4,4,1,3,3,2,1,3,3,2,2,1,1,2,1,2,3,3,2
50_11_12,2011,0,13,120,313,7,255,4605,343,7,165,0,81,650,1252,416,1714,22455,1536,30,603,0,0,0,0,0,0,0,0,0,0,50,U-Wisconsin,Public,4,4,4,3,3,2,1,2,2,2,2,2,1,3,1,2,2,2,2
55_11_12,2011,0,2,97,151,102,80,880,99,2,72,0,30,421,495,815,198,3446,413,3,199,0,31,422,497,816,199,3486,417,4,199,55,William & Mary,Public,4,4,4,4,4,4,2,4,4,4,2,2,2,4,1,2,4,4,1
57_11_12,2011,0,8,29,596,176,39,2627,550,9,282,0,72,137,2302,1037,168,11120,1915,44,857,0,73,137,2305,1038,226,11130,1915,44,857,57,"Cal Poly State, San Luis Obispo",Public,4,1,4,4,1,1,1,2,2,1,2,1,2,1,1,1,2,2,1
62_11_12,2011,0,3,456,291,7,46,4023,479,3,174,0,42,1926,1122,497,203,19823,2034,17,513,0,0,0,0,0,0,0,0,0,0,62,University of Georgia,Public,4,1,4,3,2,2,1,2,2,2,2,1,1,1,1,1,2,2,1
65_11_12,2011,0,13,428,1060,82,26,4182,161,0,169,0,128,2952,4756,448,250,21549,894,0,617,0,130,3026,4793,464,477,21773,906,0,632,65,Florida State University,Public,4,2,4,3,2,2,1,2,3,2,2,2,2,3,1,1,2,2,1
68_11_12,2011,0,23,347,204,82,62,3598,224,0,157,0,117,1882,855,735,346,17889,1196,9,485,0,121,1988,905,843,561,18950,1294,10,504,68,NC State,Public,4,4,4,4,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1
75_11_12,2011,0,11,156,151,0,310,4039,491,4,187,0,127,1281,845,395,2357,22237,2567,37,764,0,149,1413,951,1400,2622,24575,2859,40,803,75,"University of Minnesota, Twin Cities",Public,4,4,4,4,1,1,1,2,2,2,2,2,2,1,1,2,2,2,1
01_12_13,2012,0,0,101,101,20,151,613,302,0,69,0,9,391,394,125,555,2552,1010,3,216,0,0,0,0,0,0,0,0,0,0,1,Princeton University,Private,4,4,4,4,4,4,2,3,4,4,2,2,2,1,1,2,2,2,2
02_12_13,2012,0,11,92,271,6,129,708,338,5,202,0,69,440,1179,47,521,2635,1328,26,754,0,0,0,0,0,0,0,0,0,0,2,Stanford University,Private,4,4,4,4,4,4,2,4,4,4,2,2,2,1,1,2,2,2,1
04_12_13,2012,0,12,98,142,50,141,600,239,0,73,0,35,354,543,176,554,2547,868,4,316,0,35,354,543,177,555,2552,868,4,317,4,Yale University,Private,4,4,4,4,4,4,2,4,4,4,2,2,2,2,1,2,2,2,1
07_12_13,2012,0,3,178,248,103,280,1034,452,2,97,0,22,666,853,421,1086,4243,1807,6,270,0,22,666,853,421,1086,4243,1807,6,270,7,University of Pennsylvania,Private,4,3,4,4,4,4,2,3,3,4,2,2,2,2,1,2,2,2,2
08_12_13,2012,0,2,107,152,42,185,738,338,0,98,0,17,435,610,274,721,2969,1223,1,360,0,17,436,610,276,758,2974,1225,1,361,8,Harvard University,Private,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1
09_12_13,2012,0,0,64,144,16,95,361,208,0,43,0,6,253,549,47,383,1564,813,2,193,0,7,253,549,49,410,1571,813,3,193,9,Rice University,Private,4,4,4,4,4,4,2,4,4,4,2,2,2,2,1,2,2,2,2
